ETH Simulated time (yr AD),ETH solar modulation parameter (MeV),ETH solar modulation parameter sig (MeV),QL Simulated time (yr AD),QL solar modulation parameter (MeV),Sunspot times (yr AD),Sunspots
1564.58333333333,400.791814870122,193.077115145758, , , , 
1564.66666666666,395.281937506752,190.581046901874, , , , 
1564.75,389.900585675162,188.012689393848, , , , 
1564.83333333333,384.659583880776,185.378890557632, , , , 
1564.91666666666,379.569701093758,182.686576607902, , , , 
1565,374.640699650912,179.94276882348, , , , 
1565.08333333333,369.881399601917,177.154603043175, , , , 
1565.16666666666,365.299754834251,174.329349615385, , , , 
1565.25,360.902937105091,171.474431488296, , , , 
1565.33333333333,356.697424209446,168.597438319461, , , , 
1565.41666666666,352.68908883873,165.706134861009, , , , 
1565.5,348.883285097357,162.808462327545, , , , 
1565.58333333333,345.284930058491,159.912531887915, , , , 
1565.66666666666,341.898578128796,157.02660979996, , , , 
1565.75,338.728486357927,154.159094039385, , , , 
1565.83333333333,335.778669176532,151.318482589408, , , , 
1565.91666666666,333.052941380685,148.51333386173, , , , 
1566,330.554948503833,145.752219989276, , , , 
1566.08333333333,328.288184030041,143.043673950856, , , , 
1566.16666666666,326.255993201024,140.396131661253, , , , 
1566.25,324.461563448234,137.817870290808, , , , 
1566.33333333333,322.907901738394,135.316944155611, , , , 
1566.41666666666,321.597799362716,132.90111953512, , , , 
1566.5,320.533784936065,130.577809739833, , , , 
1566.58333333333,319.718066608853,128.354011687075, , , , 
1566.66666666666,319.152464733235,126.236245157857, , , , 
1566.75,318.838336466136,124.230495804086, , , , 
1566.83333333333,318.776494034064,122.342162859314, , , , 
1566.91666666666,318.967118628132,120.576012386205, , , , 
1567,319.409672138864,118.93613677555, , , , 
1567.08333333333,320.102809160524,117.425921096671, , , , 
1567.16666666666,321.044291842386,116.048016789561, , , , 
1567.25,322.230910169794,114.804323087444, , , , 
1567.33333333333,323.658410091356,113.695976465407, , , , 
1567.41666666666,325.321431614229,112.723348321581, , , , 
1567.5,327.213458644617,111.886051002992, , , , 
1567.58333333333,329.326782007045,111.182952181858, , , , 
1567.66666666666,331.652476748137,110.612197470103, , , , 
1567.75,334.180394516841,110.171241033293, , , , 
1567.83333333333,336.89917150891,109.856883831369, , , , 
1567.91666666666,339.796252165581,109.665318973695, , , , 
1568,342.857928522705,109.592183535289, , , , 
1568.08333333333,346.069394823404,109.632616054115, , , , 
1568.16666666666,349.414816757082,109.781318839621, , , , 
1568.25,352.877414501968,110.032624192283, , , , 
1568.33333333333,356.439558638747,110.380563658796, , , , 
1568.41666666666,360.082877944727,110.818939494589, , , , 
1568.5,363.788378030965,111.341397539002, , , , 
1568.58333333333,367.536569722007,111.941500717661, , , , 
1568.66666666666,371.307605991229,112.6128023782, , , , 
1568.75,375.08142615424,113.348918644182, , , , 
1568.83333333333,378.837905889727,114.143598935742, , , , 
1568.91666666666,382.55701150255,114.990793752867, , , , 
1569,386.218956671265,115.88471875569, , , , 
1569.08333333333,389.804359749281,116.819914128154, , , , 
1569.16666666666,393.294399563665,117.791298219482, , , , 
1569.25,396.670967642293,118.794214562369, , , , 
1569.33333333333,399.916814924498,119.824471561616, , , , 
1569.41666666666,403.015691229157,120.878374373481, , , , 
1569.5,405.952475994012,121.952748696594, , , , 
1569.58333333333,408.713299013085,123.044956356107, , , , 
1569.66666666666,411.285650072727,124.152902696161, , , , 
1569.75,413.658476523753,125.275035907702, , , , 
1569.83333333333,415.822267932063,126.410338504956, , , , 
1569.91666666666,417.769127027063,127.558311220308, , , , 
1570,419.492826221156,128.71894961379, , , , 
1570.08333333333,420.988849017448,129.892713698447, , , , 
1570.16666666666,422.254415686418,131.080490889541, , , , 
1570.25,423.288492714647,132.283552625947, , , , 
1570.33333333333,424.091785726088,133.50350510402, , , , 
1570.41666666666,424.666715825802,134.74223469438, , , , 
1570.5,425.017379577284,136.001848746748, , , , 
1570.58333333333,425.149493072067,137.284612599707, , , , 
1570.66666666666,425.0703207788,138.592883695081, , , , 
1570.75,424.788590071157,139.929043756496, , , , 
1570.83333333333,424.314392533303,141.295430030153, , , , 
1570.91666666666,423.659073331136,142.694266596312, , , , 
1571,422.835110118511,144.127596739186, , , , 
1571.08333333333,421.855983114345,145.597217320623, , , , 
1571.16666666666,420.736038118089,147.104616057367, , , , 
1571.25,419.490344298569,148.650912566753, , , , 
1571.33333333333,418.134548583065,150.236804020343, , , , 
1571.41666666666,416.684728411121,151.862516214969, , , , 
1571.5,415.157244536794,153.527760821409, , , , 
1571.58333333333,413.568595488191,155.231699497333, , , , 
1571.66666666666,411.935275232254,156.972915456199, , , , 
1571.75,410.273635546379,158.749392970978, , , , 
1571.83333333333,408.599754566073,160.558505159371, , , , 
1571.91666666666,406.929312958695,162.397010239956, , , , 
1572,405.277479164453,164.26105626558, , , , 
1572.08333333333,403.658805130947,166.146194144143, , , , 
1572.16666666666,402.087133902325,168.047398574149, , , , 
1572.25,400.575520248483,169.959096380445, , , , 
1572.33333333333,399.136165208052,171.875201643236, , , , 
1572.41666666666,397.780365008433,173.789156954614, , , , 
1572.5,396.518474382906,175.693980085019, , , , 
1572.58333333333,395.359883872819,177.582315281679, , , , 
1572.66666666666,394.313010294644,179.446488348906, , , , 
1572.75,393.385299165848,181.278564576253, , , , 
1572.83333333333,392.583237517053,183.070408484784, , , , 
1572.91666666666,391.912375167842,184.813744255022, , , , 
1573,391.377352212217,186.500215586148, , , , 
