Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1707,0.080,-0.652,1.195,-2.968,3.512,0.178,-0.232,0.503,-2.438,2.710
1706,0.581,0.084,1.225,-2.233,3.542,0.291,-0.135,0.700,-2.342,2.907
1705,0.934,-0.245,1.950,-2.562,4.267,0.786,0.367,1.132,-1.839,3.338
1704,0.186,-0.649,1.044,-2.966,3.360,0.106,-0.651,0.530,-2.857,2.736
1703,0.139,-0.693,1.242,-3.010,3.559,0.203,-0.127,0.586,-2.334,2.792
1702,0.205,-0.602,0.865,-2.918,3.182,-0.616,-0.865,-0.169,-3.072,2.037
1701,1.223,0.473,1.842,-1.844,4.159,0.421,0.038,0.965,-2.168,3.172
1700,0.330,-0.354,1.118,-2.670,3.435,0.299,-0.401,0.765,-2.607,2.971
1699,0.724,-0.502,1.594,-2.819,3.911,0.859,-0.150,1.425,-2.356,3.632
1698,0.249,-0.725,0.927,-3.042,3.243,-0.048,-0.948,0.414,-3.154,2.620
1697,-0.027,-0.879,0.812,-3.196,3.129,0.339,-0.678,0.936,-2.884,3.143
1696,0.170,-0.392,1.090,-2.709,3.407,0.216,-0.699,0.783,-2.905,2.990
1695,0.228,-1.175,1.217,-3.492,3.534,-0.137,-0.851,0.257,-3.057,2.463
1694,0.600,-0.101,1.350,-2.418,3.666,0.765,0.064,1.145,-2.142,3.351
1693,0.261,-0.500,1.162,-2.817,3.479,0.425,-0.094,0.766,-2.300,2.972
1692,-0.268,-2.203,0.623,-4.519,2.940,-1.215,-1.996,-0.756,-4.203,1.451
