Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1115,-0.528,-1.392,0.372,-3.709,2.689,-0.496,-0.818,-0.118,-3.024,2.089
1114,0.023,-0.792,0.935,-3.109,3.252,0.195,-0.302,1.171,-2.508,3.377
1113,-0.246,-0.985,1.089,-3.302,3.406,0.027,-0.254,0.594,-2.461,2.801
1112,-0.247,-1.468,0.632,-3.785,2.949,-0.597,-1.004,-0.302,-3.211,1.904
1111,0.176,-0.682,0.959,-2.999,3.276,0.018,-0.224,0.204,-2.430,2.410
1110,0.419,-0.481,1.318,-2.798,3.634,0.148,-0.163,0.446,-2.370,2.652
1109,0.168,-0.450,0.876,-2.766,3.192,-0.070,-0.507,0.315,-2.714,2.521
1108,-0.131,-0.683,0.510,-3.000,2.827,0.100,-0.319,0.370,-2.525,2.576
1107,0.008,-0.912,1.161,-3.228,3.478,-0.145,-0.608,0.261,-2.815,2.468
1106,-0.134,-0.924,0.668,-3.241,2.985,0.141,-0.152,0.728,-2.359,2.935
1105,0.498,-0.391,1.257,-2.707,3.573,0.988,0.575,1.443,-1.632,3.649
1104,-0.436,-1.466,0.180,-3.783,2.497,-0.646,-1.035,-0.351,-3.241,1.855
1103,-0.458,-1.373,0.779,-3.689,3.096,-0.398,-0.866,-0.064,-3.073,2.142
1102,-0.315,-1.125,0.476,-3.442,2.793,-0.539,-0.927,0.071,-3.134,2.277
1101,-0.159,-0.621,0.867,-2.938,3.183,0.125,-0.205,0.874,-2.412,3.080
1100,-0.255,-1.083,0.629,-3.400,2.945,0.105,-0.314,0.403,-2.521,2.609
1099,-0.515,-1.058,0.315,-3.374,2.632,-0.393,-0.832,-0.077,-3.038,2.129
1098,-0.604,-1.554,0.440,-3.871,2.757,-0.650,-0.998,-0.281,-3.204,1.925
1097,-0.489,-1.265,0.738,-3.582,3.054,0.160,-0.150,0.492,-2.356,2.698
1096,-0.604,-1.268,0.482,-3.584,2.798,-0.257,-0.736,0.060,-2.942,2.266
1095,-0.275,-0.945,0.829,-3.262,3.145,-0.140,-0.533,0.128,-2.739,2.335
1094,-0.730,-1.687,0.271,-4.004,2.587,-0.367,-0.815,-0.020,-3.021,2.186
1093,0.276,-0.400,1.478,-2.716,3.795,1.020,0.569,1.335,-1.637,3.541
1092,-0.083,-0.680,1.298,-2.997,3.615,0.039,-0.244,0.201,-2.450,2.408
1091,-0.685,-1.700,0.210,-4.017,2.527,0.261,0.022,0.551,-2.184,2.757
1090,-0.613,-1.564,0.365,-3.881,2.682,-0.217,-0.626,-0.034,-2.833,2.172
1089,-0.493,-1.226,0.322,-3.543,2.639,-0.232,-0.595,0.106,-2.802,2.312
1088,-0.582,-1.542,0.322,-3.859,2.638,-0.450,-0.848,-0.193,-3.055,2.013
1087,-0.509,-1.379,0.455,-3.696,2.771,-0.690,-1.152,-0.367,-3.358,1.839
1086,-0.695,-1.536,0.160,-3.853,2.477,-0.059,-0.506,0.194,-2.712,2.401
1085,-0.811,-1.908,0.606,-4.225,2.923,0.478,0.099,0.867,-2.107,3.073
1084,-0.695,-1.713,0.722,-4.030,3.038,-0.257,-0.562,-0.079,-2.769,2.127
1083,-0.454,-1.194,0.642,-3.510,2.959,-0.180,-0.436,0.078,-2.642,2.284
1082,-0.340,-1.376,0.652,-3.693,2.969,-1.391,-1.727,-1.037,-3.933,1.169
1081,-1.475,-2.298,-0.587,-4.615,1.730,-1.725,-2.158,-1.282,-4.365,0.925
1080,-1.094,-2.060,0.003,-4.377,2.320,-1.247,-1.712,-0.626,-3.918,1.580
1079,-0.809,-2.072,1.285,-4.389,3.602,-0.890,-1.272,-0.248,-3.479,1.958
1078,-0.630,-1.321,0.853,-3.637,3.170,-0.384,-0.860,0.167,-3.066,2.373
1077,-0.576,-1.452,1.148,-3.769,3.465,-0.297,-0.752,0.236,-2.959,2.442
1076,-0.820,-1.690,0.595,-4.007,2.912,-0.757,-1.257,-0.264,-3.463,1.942
1075,-1.179,-1.807,-0.166,-4.123,2.150,-1.702,-1.998,-1.305,-4.204,0.901
1074,-0.844,-1.585,0.410,-3.902,2.727,-0.860,-1.251,-0.448,-3.457,1.758
1073,-1.199,-2.074,-0.618,-4.390,1.699,-1.685,-2.195,-0.981,-4.401,1.225
1072,,,,,,-1.579,-1.939,-1.175,-4.145,1.031
1071,,,,,,-1.119,-1.384,-0.886,-3.590,1.321
1070,,,,,,-1.138,-1.440,-0.738,-3.646,1.468
1069,,,,,,-1.280,-1.653,-0.976,-3.859,1.230
1068,,,,,,-0.600,-1.043,-0.328,-3.250,1.878
1067,,,,,,-0.980,-1.719,-0.450,-3.926,1.756
1066,,,,,,-1.258,-1.719,-0.940,-3.925,1.266
1065,,,,,,-1.015,-1.476,-0.603,-3.683,1.603
1064,,,,,,-0.504,-0.974,-0.083,-3.181,2.124
1063,,,,,,-1.088,-1.504,-0.597,-3.710,1.609
1062,,,,,,-1.615,-2.211,-1.163,-4.417,1.043
1061,,,,,,-1.478,-1.742,-1.252,-3.949,0.954
1060,,,,,,-0.630,-1.046,0.002,-3.253,2.209
1059,,,,,,-1.178,-1.798,-0.702,-4.005,1.505
1058,,,,,,-0.836,-1.405,-0.018,-3.612,2.188
1057,,,,,,-1.764,-2.248,-1.445,-4.454,0.762
1056,,,,,,-1.448,-1.955,-1.066,-4.161,1.140
1055,,,,,,-0.940,-1.421,-0.402,-3.627,1.804
1054,,,,,,-1.512,-2.093,-1.121,-4.300,1.086
1053,,,,,,-2.024,-2.600,-1.665,-4.806,0.541
1052,,,,,,-0.641,-1.094,-0.188,-3.300,2.018
1051,,,,,,-1.278,-1.690,-0.871,-3.897,1.335
1050,,,,,,-1.894,-2.151,-1.581,-4.357,0.625
1049,,,,,,-1.931,-2.247,-1.579,-4.453,0.628
