Year,D13C,d18O
1585,2.3564850206,3.7391263762
1584,1.906,3.4243045826
1583,1.994,3.6323777271
1582,2.1532891884,3.6997726787
1581,2.3362233166,3.4704452637
1580,1.998,3.6934392942
1579,2,3.714764309
1578,2.14,3.75
1577,2.1838287933,3.490312891
1576,2.0666081707,3.640183448
1575,1.7825798257,3.1431060096
1574,1.8899506093,3.7515208916
1573,1.681461192,3.7243791019
1572,1.7640355425,3.6498131871
1571,1.9489831188,3.6687878382
1570,2.0219938149,3.8754664489
1569,1.8594671787,3.847689593
1568,2.1476350203,3.9844123234
1567,2.106036133,3.7858020625
1566,2.1313092236,3.826776602
1565,2.0168275019,3.8323130884
1564,2.1085626237,3.7911612093
1563,1.8270133515,3.6760187234
1562,1.9815548086,3.6370870056
1561,2.1534046066,3.4786534512
1560,2.2215314085,3.734300887
1559,2.1664924558,3.5214430315
1558,2.1204450972,3.5233509587
1557,2.170485882,3.6625373032
1556,2.1797575326,3.5990241052
1555,2.2021969454,3.687627665
1554,2.1386973044,3.8911938915
1553,2.08928061,3.8907103404
1552,2.0205634142,3.8865734022
1551,2.0232788021,4.020446845
1550,1.7813700213,3.6424645878
1549,2.043664529,3.8178514258
1548,2.1653620625,3.9140592381
1547,1.8490494816,3.7929541887
1546,1.8525176986,3.9352569039
1545,1.9494499501,3.8487338165
1544,1.8624318673,3.9366838096
1543,1.982047968,3.8758578862
1542,1.8857600052,4.0433249464
1541,1.514,4.050850834
1540,2.0613370198,3.9607760247
1539,2.208176061,4.2490390665
1538,2.0176120957,4.0836887749
1537,2.1647071847,4.0268408673
1536,1.9816559078,3.6809661291
1535,1.984171374,3.8170531344
1534,1.9715131394,3.9203560118
1533,1.940563508,3.7001915959
1532,1.7611120009,3.4726575102
1531,1.835941733,3.6254347929
1530,1.8514100361,3.1511863619
1529,1.97,3.92
1528,1.74,3.78
1527,1.77,3.83
1526,2.1,3.74
1525,2.2,3.64
1524,2.02,3.69
1523,1.913,3.801
1522,2.04,3.593
1521,2.079,3.774
1520,1.9673495329,3.2868213765
1519,1.7179793195,2.9707147078
1518,1.864299273,3.4454487886
1517,2.0368481237,3.2682801957
1516,2.636,3.208
1515,2.295,3.673
1514,2.07,3.593
1513,2.245,3.33
1512,1.888,3.534
1511,2.124,3.172
1510,1.903,3.488
1509,2.437,3.236
1508,2.32,3.449
1507,2.72,3.192
1506,2.58,3.367
1505,2.2093954739,3.715263959
1504,2.1215829954,3.6530896128
1503,1.5748421091,3.5209208158
1502,1.7793277766,3.5828200047
1501,1.7958230792,3.3617147943
1500,1.8526816861,3.3801575165
1499,2.097896184,3.8595759927
1498,1.93727489,3.6017653034
1497,1.8541434385,3.5972993557
1496,1.7327160508,3.3679412159
1495,1.8499716391,3.5924513625
1494,2.1930008918,3.3111883976
1493,2.3261629038,3.339135925
1492,1.6356569706,3.8092643765
1491,2.03,3.7
1490,2.0130015247,3.5818522787
1489,1.88,3.71
1488,2.24,3.55
1487,2.17,3.7
1486,1.99,3.66
1485,2.29,3.4
1484,2.2,3.71
1483,2.45,3.41
1482,2.68,3.46
1481,2.6585,3.220238263
1480,2.64,3.26
1479,2.46,3.31
1478,2.8,3.51
1477,2.189143063,3.5495485373
1476,2.34,3.41
1475,2.49,3.65
1474,2.331,3.6530478855
1473,2.12,3.64
1472,2.2283906039,3.6008330586
1471,2.039258953,3.416169562
1470,1.7477540889,3.3689242985
1469,1.8493658331,3.3296498741
1468,2.0017089953,3.4388387797
1467,1.9727445721,3.8865873784
1466,2.0625882196,3.7139610762
1465,2.0330725597,3.7276362997
1464,1.8482427375,3.7373744916
1463,1.7627043371,3.7043090611
1462,1.482203617,3.7574672257
1461,2.3462040864,3.7105776854
1460,2.3711074704,3.6330596845
1459,2.3209233737,3.52590293
1458,2.1143664194,3.7044601784
1457,2.1572013125,3.6083884278
1456,2.346639103,4.1326048832
1455,2.0795669372,3.8051851558
1454,2.1970386486,3.7286951524
1453,2.264129499,3.8627208841
1452,2.1988148868,3.7666508063
1451,2.0712993246,3.7586510766
1450,2.0002939473,3.796350449
1449,2.0293877032,3.6244200701
1448,2.1387037461,3.6302207344
1447,2.2514766471,3.6523897743
1446,2.1435516459,3.6932466808
1445,2.2293925354,3.9214956839
1444,2.3134297162,4.0673919925
1443,2.3187258125,3.4315711139
1442,2.2372499356,3.7212797997
1441,2.1516603526,3.577161002
1440,2.224503142,3.682820251
1439,2.3328159911,3.6020051819
1438,2.2713887742,3.7151178538
1437,2.16,3.29
1436,2.0349592672,3.2943432849
1435,2.32,3.22
